1,FWtGaeeGINZfdrijIJc,7.01,10:36:55
2,orFdGxZcYtZeLxNoM,6.78,20:22:57
3,cpniGLrLaQGHPGNnUQb,7.06,02:17:22
4,xkSydfJkUjitKPwBRerdtuOTenIpl,6.83,06:25:00
5,pZxnquqhtPFAOJzfZigomZPOTTWEM,7.15,05:26:25
6,nkygLmeKZVTHyZLujNJ,7.04,07:22:18
7,MljFuBmnGBRcpaRmk,7.03,11:55:11
8,GHSUZYUnYFHhFgVzUGIKu,7.12,22:10:41
9,qfOjofzyutYclirK,7.15,18:50:08
10,sjVVkTmQrPp,7.11,08:10:34
11,RFHANShHSEVPQufJuRJ,7.03,05:13:23
12,mrIeJeXhMOiaYTebeJYvsODuzL,7.15,15:14:54
13,afKCFSDrmLOqcPICvYoWX,7.15,11:18:11
14,cFEyDvjCpBKJWpZmoNaSdKcHhBxWT,6.80,22:40:58
15,gPTtDbKJtJthYZXxtsNtNsrbuIHkA,6.81,07:34:23
16,nMRDRhziXGqaTQCxtBObTEAMlSOIlR,7.05,16:09:45
17,MZSUJWqqqZgGb,7.12,10:45:59
18,aZjsPYYjZlTiWTJUctHyltQhUeUD,6.78,00:04:01
19,hxDnedFWijtonfxUjwTSZFDuwGle,7.00,01:15:44
20,VdNJWrNcWEsMEtWbyLZHXom,7.13,13:05:09
21,BpKMYJCtlDYuOgcprGqSadhXX,6.81,03:02:03
22,czUADuRHIBiruiuyBnVDHW,6.78,15:37:41
23,WOYKmCELIHMcljrROknsI,6.80,12:41:12
24,AcSbDXKObScKErJ,7.11,19:04:51
25,qSKBJeTkGyYXTWwPEsGJUBb,7.03,18:45:52
26,xLjjxRdtciHjTtHz,6.80,17:02:43
27,AioVEfixgNNlSuifDc,7.04,23:55:40
28,ZkWTZrnEKq,6.80,09:23:46
29,zXnhEMOanmFbkTWTpoJQEenOMf,7.03,05:18:46
30,bSgMKkzezsTmdvSipVY,7.09,03:23:09
31,fXlxFxnqhpFQAVVmfMVTjTFSQKGf,7.11,02:08:18
32,dqxdTgOVbuFDTw,6.80,21:48:23
33,AmjZMKDckhkJ,6.78,02:22:45
34,jYwYKryVYrtiENvbzq,7.15,14:49:19
35,JECxuyOhhIGtBl,7.00,20:21:48
